状態,キーワード
未使用に近い,"This item is slightly used, as good as new.<br>"
目立った傷や汚れなし,The item is secondhand but is in very good condition.<br>
やや傷や汚れあり,The item is a used item with a slight feeling of use.<br>
傷や汚れあり,"The item is a used with noticeable scratches, dirt, feeling of use.<br>"
全体的に状態が悪い,Overall poor condition.<br>
新品、未使用,NEW<br>
