MPN,Ref,EPID,Title,Brand,Model,Movement,Beats per Hour,Jewels,Style,Case Material,Water Resistance,Watch Shape,Case Thickness,Case Width,Band Width
SBGJ017,9S86-00C0,,Grand Seiko SBGJ017 9S86-00C0 Hi-Beat Automatic Mens,Seiko,Grand Seiko,Hi-Beat Automatic,,,,Stainless Steel,,,,39.5mm,
SBGJ019,9S86-00C0,,Grand Seiko SBGJ019 9S86-00C0 Hi-Beat Automatic Mens,Seiko,Grand Seiko,Hi-Beat Automatic,,,,Stainless Steel,,,,39.5mm,
SBGJ021,9S86-00E0,,Grand Seiko Seiko135thAnniversaryLE 500 DawnofIwate SBGJ021 9S86-00E0 Automatic,Seiko,Grand Seiko,Hi-BeatAutomatic,,,,StainlessSteel,,,,40mm,
SBGJ023,9S86-00A0,,Grand Seiko YokohamaTakashimayaLE 25 SBGJ023 9S86-00A0 Hi-BeatAutomatic Mens,Seiko,Grand Seiko,Hi-BeatAutomatic,,,,StainlessSteel,,,,40mm,
SBGJ201,9S86-00A0,,Grand Seiko Mastershop Mt. Iwate SBGJ201 9S86-00A0 Hi-Beat Automatic Mens,Seiko,Grand Seiko,Hi-Beat Automatic,,,,Stainless Steel,,,,40mm,
SBGJ203,9S86-00A0,,Grand Seiko Mastershop SBGJ203 9S86-00A0 Hi-Beat Automatic Mens,Seiko,Grand Seiko,Hi-Beat Automatic,,,,Stainless Steel,,,,40mm,
SBGJ207,,,Grand Seiko Mastershop SBGJ207 Hi-Beat Automatic Mens,Seiko,Grand Seiko,Hi-Beat Automatic,,,,White Gold,,,,39.5mm,
SBGJ208,,,Grand Seiko Mastershop SBGJ208 Hi-Beat Automatic Mens,Seiko,Grand Seiko,Hi-Beat Automatic,,,,Yellow Gold,,,,39.5mm,
SBGJ20C,9S86-00A0,,Grand Seiko Shizuku-ishiWatchStudio SBGJ20C 9S86-00A0 Hi-BeatAutomatic Mens,Seiko,Grand Seiko,Hi-BeatAutomatic,,,,StainlessSteel,,,,40mm,
SBGJ20E,9S86-00A0,,Grand Seiko Shizuku-ishiWatchStudio SBGJ20E 9S86-00A0 Hi-BeatAutomatic Mens,Seiko,Grand Seiko,Hi-BeatAutomatic,,,,StainlessSteel,,,,40mm,
SBGJ210,,,Grand Seiko Mastershop SBGJ210 Hi-Beat Automatic Mens,Seiko,Grand Seiko,Hi-Beat Automatic,,,,Rose Gold,,,,39.5mm,
SBGJ211,9S86-00A0,,Grand Seiko Mastershop SBGJ211 9S86-00A0 Hi-Beat Automatic Mens,Seiko,Grand Seiko,Hi-Beat Automatic,,,,Titanium,,,,40mm,
SBGJ213,9S86-00A0,,Grand Seiko Mastershop SBGJ213 9S86-00A0 Hi-Beat Automatic Mens,Seiko,Grand Seiko,Hi-Beat Automatic,,,,Titanium,,,,40mm,
SBGJ217,9S86-00C0,,Grand Seiko Mastershop SBGJ217 9S86-00C0 Hi-Beat Automatic Mens,Seiko,Grand Seiko,Hi-Beat Automatic,,,,Stainless Steel,,,,39.5mm,
SBGJ219,9S86-00C0,,Grand Seiko Mastershop SBGJ219 9S86-00C0 Hi-Beat Automatic Mens,Seiko,Grand Seiko,Hi-Beat Automatic,,,,Stainless Steel,,,,39.5mm,
SBGJ225,9S86-00F0,,Grand Seiko AsiaReleaseLE 250 Kasuri SBGJ225 9S86-00F0 Hi-BeatAutomatic Mens,Seiko,Grand Seiko,Hi-BeatAutomatic,,,,StainlessSteel,,,,40mm,
SBGJ227,9S86-00G0,,Grand Seiko Limited Edition 700 Peacock SBGJ227 9S86-00G0 Hi-Beat Automatic Mens,Seiko,Grand Seiko,Hi-Beat Automatic,,,,Stainless Steel,,,,40mm,
SBGJ229,9S86-00H0,,Grand Seiko 9S 20th Anniversary LE 350 SBGJ229 9S86-00H0 Hi-Beat Automatic Mens,Seiko,Grand Seiko,Hi-Beat Automatic,,,,Ceramic/Ti,,,,46.4mm,
SBGJ231,9S86-00A0,,Grand Seiko Premium Boutique Midnight Iwate SBGJ231 9S86-00A0 Hi-Beat Automatic,Seiko,Grand Seiko,Hi-Beat Automatic,,,,Stainless Steel,,,,40mm,
SBGJ233,9S86-00J0,,Grand Seiko Mastershop SBGJ233 9S86-00J0 Hi-Beat Automatic Mens,Seiko,Grand Seiko,Hi-Beat Automatic,,,,Ceramic/Ti,,,,46.4mm,
SBGJ235,9S86-00A0,,Grand Seiko GS Boutique and Salon SBGJ235 9S86-00A0 Hi-Beat Automatic Mens,Seiko,Grand Seiko,Hi-Beat Automatic,,,,Stainless Steel,,,,40mm,
SBGJ237,,,Grand Seiko GS Boutique and Salon SBGJ237 Hi-Beat Automatic Mens,Seiko,Grand Seiko,Hi-Beat Automatic,,,,Stainless Steel,,,,44.2mm,
SBGJ239,9S86-00K0,,Grand Seiko International Model SBGJ239 9S86-00K0 Hi-Beat Automatic Mens,Seiko,Grand Seiko,Hi-Beat Automatic,,,,Stainless Steel,,,,44.2mm,
SBGJ247,9S86-00M0,,Grand Seiko WakoLE 60 SBGJ247 9S86-00M0 Hi-BeatAutomatic Mens,Seiko,Grand Seiko,Hi-BeatAutomatic,,,,StainlessSteel,,,,40mm,
SBGK002,9S63-00D0,,Grand Seiko GSBoutiqueandSalonLE 150 SBGK002 9S63-00D0 MechanicalManual Mens,Seiko,Grand Seiko,MechanicalManual,,,,RoseGold,,,,39mm,
SBGK004,9S63-00C0,,Grand Seiko MastershopLE 150 SBGK004 9S63-00C0 MechanicalManual Mens,Seiko,Grand Seiko,MechanicalManual,,,,YellowGold,,,,39mm,
SBGK005,9S63-00B0,,Grand Seiko Mastershop LE 1500 SBGK005 9S63-00B0 Mechanical Manual Mens,Seiko,Grand Seiko,Mechanical Manual,,,,Stainless Steel,,,,39mm,
SBGK006,9S63-00A0,,Grand Seiko Mastershop SBGK006 9S63-00A0 Mechanical Manual Mens,Seiko,Grand Seiko,Mechanical Manual,,,,Yellow Gold,,,,39mm,
SBGK007,9S63-00A0,,Grand Seiko SBGK007 9S63-00A0 Mechanical Manual Mens,Seiko,Grand Seiko,Mechanical Manual,,,,Stainless Steel,,,,39mm,
SBGK009,9S63-00A0,,Grand Seiko SBGK009 9S63-00A0 Mechanical Manual Mens,Seiko,Grand Seiko,Mechanical Manual,,,,Stainless Steel,,,,39mm,
SBGK011,,,Grand Seiko ParisVendomeGSBoutique 10 SBGK011 MechanicalManual Mens,Seiko,Grand Seiko,MechanicalManual,,,,Platinum,,,,39mm,
SBGK013,,,Grand Seiko ParisVendomeGSBoutique 10 SBGK013 MechanicalManual Mens,Seiko,Grand Seiko,MechanicalManual,,,,YellowGold,,,,39mm,
SBGL001,9S67-00A0,,Grand Seiko Mastershop SBGL001 9S67-00A0 Mechanical Automatic Mens,Seiko,Grand Seiko,Mechanical Automatic,,,,Stainless Steel,,,,39mm,
SBGL003,9S67-00A0,,Grand Seiko Mastershop LE 200 SBGL003 9S67-00A0 Mechanical Automatic Mens,Seiko,Grand Seiko,Mechanical Automatic,,,,White Gold,,,,39mm,
SBGL005,9S67-00A0,,Grand Seiko Mastershop SBGL005 9S67-00A0 Mechanical Automatic Mens,Seiko,Grand Seiko,Mechanical Automatic,,,,Stainless Steel,,,,39mm,
SBGL007,9S67-00C0,,Grand Seiko Wako LE 30 SBGL007 9S67-00C0 Mechanical Automatic Mens,Seiko,Grand Seiko,Mechanical Automatic,,,,Stainless Steel,,,,,
SBGL009,9S67-00B0,,Grand Seiko Mistukoshi LE 25 SBGL009 9S67-00B0 Mechanical Automatic Mens,Seiko,Grand Seiko,Mechanical Automatic,,,,Titanium,,,,,
SBGL011,9S67-00D0,,Grand Seiko Yokohama Takashimaya LE 25 SBGL011 9S67-00D0 Mechanical Automatic,Seiko,Grand Seiko,Mechanical Automatic,,,,Titanium,,,,38mm,
SBGL013,9S67-00E0,,Grand Seiko Umeda Hankyu LE 25 SBGL013 9S67-00E0 Mechanical Automatic Mens,Seiko,Grand Seiko,Mechanical Automatic,,,,Titanium,,,,,
SBGL015,9S67-00F0,,Grand Seiko Ikeda Watch Store LE 50 SBGL015 9S67-00F0 Mechanical Automatic Mens,Seiko,Grand Seiko,Mechanical Automatic,,,,Stainless Steel,,,,37mm,
SBGL017,9S67-00G0,,Grand Seiko SBGL017 9S67-00G0 Mechanical Automatic Mens,Seiko,Grand Seiko,Mechanical Automatic,,,,Stainless Steel,,,,,
SBGL019,9S67-00H0,,Grand Seiko Terauchi LE 30 SBGL019 9S67-00H0 Mechanical Automatic Mens,Seiko,Grand Seiko,Mechanical Automatic,,,,Stainless Steel,,,,,
SBGM001,9S56-00A0,,Grand Seiko Mastershop SBGM001 9S56-00A0 Mechanical Automatic Mens,Seiko,Grand Seiko,Mechanical Automatic,,,,Stainless Steel,,,,39mm,
SBGM003,9S56-00B0,,Grand Seiko SBGM003 9S56-00B0 Mechanical Automatic Mens,Seiko,Grand Seiko,Mechanical Automatic,,,,Stainless Steel,,,,,
SBGM005,9S56-00C0,,Grand Seiko Isetan LE 21 SBGM005 9S56-00C0 Mechanical Automatic Mens,Seiko,Grand Seiko,Mechanical Automatic,,,,Stainless Steel,,,,39mm,
SBGM007,9S56-00B0,,Grand Seiko SBGM007 9S56-00B0 Mechanical Automatic Mens,Seiko,Grand Seiko,Mechanical Automatic,,,,Stainless Steel,,,,,
SBGM009,9S56-00B0,,Grand Seiko SBGM009 9S56-00B0 Mechanical Automatic Mens,Seiko,Grand Seiko,Mechanical Automatic,,,,Stainless Steel,,,,,
SBGM00C,9S56-00B0,,Grand Seiko Shizuku-ishiWatchStudio SBGM00C 9S56-00B0 MechanicalAutomatic Mens,Seiko,Grand Seiko,MechanicalAutomatic,,,,StainlessSteel,,,,39mm,
SBGM00G,9S66-00A0,,Grand Seiko Shizuku-ishiWatchStudio SBGM00G 9S66-00A0 MechanicalAutomatic Mens,Seiko,Grand Seiko,MechanicalAutomatic,,,,StainlessSteel,,,,39.5mm,
SBGM00H,9S66-00A0,,Grand Seiko Shizuku-ishiWatchStudio SBGM00H 9S66-00A0 MechanicalAutomatic Mens,Seiko,Grand Seiko,MechanicalAutomatic,,,,StainlessSteel,,,,39.5mm,
SBGM00J,9S66-00B0,,Grand Seiko Shizuku-ishiWatchStudio SBGM00J 9S66-00B0 MechanicalAutomatic Mens,Seiko,Grand Seiko,MechanicalAutomatic,,,,StainlessSteel,,,,39mm,
SBGM011,,,Grand Seiko Umeda Hankyu SBGM011 Mechanical Automatic Mens,Seiko,Grand Seiko,Mechanical Automatic,,,,Stainless Steel,,,,,
SBGM013,,,Grand Seiko Takashimaya LE 30 SBGM013 Mechanical Automatic Mens,Seiko,Grand Seiko,Mechanical Automatic,,,,Stainless Steel,,,,39.5mm,
SBGM021,9S66-00A0,,Grand Seiko SBGM021 9S66-00A0 Mechanical Automatic Mens,Seiko,Grand Seiko,Mechanical Automatic,,,,Stainless Steel,,,,39.5mm,
SBGM023,9S66-00A0,,Grand Seiko SBGM023 9S66-00A0 Mechanical Automatic Mens,Seiko,Grand Seiko,Mechanical Automatic,,,,Stainless Steel,,,,39.5mm,
SBGM025,9S66-00B0,,Grand Seiko Edition SBGM025 9S66-00B0 MechanicalAutomatic Mens,Seiko,Grand Seiko,MechanicalAutomatic,,,,StainlessSteel,,,,39mm,
SBGM027,9S66-00B0,,Grand Seiko Edition SBGM027 9S66-00B0 MechanicalAutomatic Mens,Seiko,Grand Seiko,MechanicalAutomatic,,,,StainlessSteel,,,,39mm,
SBGM029,9S66-00C0,,Grand Seiko Limited Edition 700 SBGM029 9S66-00C0 Mechanical Automatic Mens,Seiko,Grand Seiko,Mechanical Automatic,,,,Stainless Steel,,,,39mm,
SBGM031,9S66-00D0,,Grand Seiko 9S GMT 10th Anniversary LE 1000 SBGM031 9S66-00D0 Automatic,Seiko,Grand Seiko,Mechanical Automatic,,,,Stainless Steel,,,,39.5mm,
SBGM033,9S66-00E0,,Grand Seiko TaiwanLE 150 SBGM033 9S66-00E0 MechanicalAutomatic Mens,Seiko,Grand Seiko,MechanicalAutomatic,,,,StainlessSteel,,,,39.5mm,
SBGM20G,9S66-00A0,,Grand Seiko Shizuku-ishiWatchStudio SBGM20G 9S66-00A0 MechanicalAutomatic Mens,Seiko,Grand Seiko,MechanicalAutomatic,,,,StainlessSteel,,,,39.5mm,
SBGM221,9S66-00A0,,Grand Seiko SBGM221 9S66-00A0 Mechanical Automatic Mens,Seiko,Grand Seiko,Mechanical Automatic,,,,Stainless Steel,,,,39.5mm,
SBGM227,9S66-00B0,,Grand Seiko SBGM227 9S66-00B0 Mechanical Automatic Mens,Seiko,Grand Seiko,Mechanical Automatic,,,,Stainless Steel,,,,39.4mm,
SBGM235,9S66-00F0,,Grand Seiko 9S20thAnniversaryLE 1000 Kiku SBGM235 9S66-00F0 MechanicalAutomatic,Seiko,Grand Seiko,MechanicalAutomatic,,,,StainlessSteel,,,,39.5mm,
SBGM237,9S66-00G0,,Grand Seiko Wako LE 50 SBGM237 9S66-00G0 Mechanical Automatic Mens,Seiko,Grand Seiko,Mechanical Automatic,,,,Stainless Steel,,,,39.4mm,
SBGM239,9S66-00H0,,Grand Seiko HodinkeeLE 500 Yūgure SBGM239 9S66-00H0 MechanicalAutomatic Mens,Seiko,Grand Seiko,MechanicalAutomatic,,,,StainlessSteel,,,,39.5mm,
SBGM241,9S66-00A0,,Grand Seiko WatchesofSwitzerlandExclusive Toge SBGM241 9S66-00A0 Automatic,Seiko,Grand Seiko,MechanicalAutomatic,,,,StainlessSteel,,,,39.5mm,
SBGN001,9F86-0AA0,,Grand Seiko 9F 25th Anniversary LE 800 SBGN001 9F86-0AA0 Quartz Mens,Seiko,Grand Seiko,Quartz,,,,Stainless Steel,,,,39mm,
SBGN003,9F86-0AB0,,Grand Seiko SBGN003 9F86-0AB0 Quartz Mens,Seiko,Grand Seiko,Quartz,,,,Stainless Steel,,,,39mm,
SBGN005,9F86-0AB0,,Grand Seiko SBGN005 9F86-0AB0 Quartz Mens,Seiko,Grand Seiko,Quartz,,,,Stainless Steel,,,,39mm,
SBGN007,9F86-0AC0,,Grand Seiko 9F25thAnniversaryLE 1200 Midoriko SBGN007 9F86-0AC0 Quartz Mens,Seiko,Grand Seiko,Quartz,,,,StainlessSteel,,,,40mm,
SBGN009,9F86-0AD0,,Grand Seiko Quartz 50th Anniversary LE 2019 SBGN009 9F86-0AD0 Quartz Mens,Seiko,Grand Seiko,Quartz,,,,Stainless Steel,,,,40mm,
SBGN011,9F86-0AF0,,Grand Seiko SBGN011 9F86-0AF0 Quartz Mens,Seiko,Grand Seiko,Quartz,,,,Stainless Steel,,,,40mm,
SBGN013,9F86-0AF0,,Grand Seiko SBGN013 9F86-0AF0 Quartz Mens,Seiko,Grand Seiko,Quartz,,,,Stainless Steel,,,,40mm,
SBGN015,9F86-0AE0,,Grand Seiko SOGO Chiba Department Store Exclusive 55 SBGN015 9F86-0AE0 Quartz,Seiko,Grand Seiko,Quartz,,,,Stainless Steel,,,,40mm,
SBGN017,,,Grand Seiko IsetanShinjukuLimitedEdition 56 SBGN017 Quartz Mens,Seiko,Grand Seiko,Quartz,,,,StainlessSteel,,,,39mm,
SBGP001,9F85-0AD0,,Grand Seiko SBGP001 9F85-0AD0 Quartz Mens,Seiko,Grand Seiko,Quartz,,,,Stainless Steel,,,,40mm,
SBGP003,9F85-0AD0,,Grand Seiko SBGP003 9F85-0AD0 Quartz Mens,Seiko,Grand Seiko,Quartz,,,,Stainless Steel,,,,40mm,
SBGP005,9F85-0AD0,,Grand Seiko SBGP005 9F85-0AD0 Quartz Mens,Seiko,Grand Seiko,Quartz,,,,Stainless Steel,,,,40mm,
SBGP007,9F85-0AA0,,Grand Seiko GS60thAnniversaryLE 2500 SBGP007 9F85-0AA0 Quartz Mens,Seiko,Grand Seiko,Quartz,,,,StainlessSteel,,,,40mm,
SBGP009,,,Grand Seiko SBGP009 Quartz Mens,Seiko,Grand Seiko,Quartz,,,,Stainless Steel,,,,40mm,
SBGP011,,,Grand Seiko SBGP011 Quartz Mens,Seiko,Grand Seiko,Quartz,,,,Stainless Steel,,,,40mm,
SBGP013,,,Grand Seiko SBGP013 Quartz Mens,Seiko,Grand Seiko,Quartz,,,,Stainless Steel,,,,40mm,
SBGP015,9F85-0AB0,,Grand Seiko GS60thAnniversaryLE 2000 SBGP015 9F85-0AB0 Quartz Mens,Seiko,Grand Seiko,Quartz,,,,StainlessSteel,,,,40mm,
SBGR001,9S55-0010,,Grand Seiko SBGR001 9S55-0010 Mechanical Automatic Mens,Seiko,Grand Seiko,Mechanical Automatic,,,,Stainless Steel,,,,37mm,
SBGR002,9S51-0010,,Grand Seiko SBGR002 9S51-0010 Mechanical Automatic Mens,Seiko,Grand Seiko,Mechanical Automatic,,,,Yellow Gold,,,,,
SBGR003,9S55-0020,,Grand Seiko SBGR003 9S55-0020 Mechanical Automatic Mens,Seiko,Grand Seiko,Mechanical Automatic,,,,Stainless Steel,,,,,
SBGR005,9S55-0020,,Grand Seiko SBGR005 9S55-0020 Mechanical Automatic Mens,Seiko,Grand Seiko,Mechanical Automatic,,,,Stainless Steel,,,,,
SBGR007,9S51-0020,,Grand Seiko 9S40thAnniversaryLE 300 SBGR007 9S51-0020 MechanicalAutomatic Mens,Seiko,Grand Seiko,MechanicalAutomatic,,,,WhiteGold,,,,35mm,
SBGR009,9S55-0030,,Grand Seiko SBGR009 9S55-0030 Mechanical Automatic Mens,Seiko,Grand Seiko,Mechanical Automatic,,,,Stainless Steel,,,,,
SBGR00C,9S55-0020,,Grand Seiko Shizuku-ishiWatchStudio SBGR00C 9S55-0020 MechanicalAutomatic Mens,Seiko,Grand Seiko,MechanicalAutomatic,,,,StainlessSteel,,,,,
SBGR00F,9S55-0020,,Grand Seiko Shizuku-ishiWatchStudio SBGR00F 9S55-0020 MechanicalAutomatic Mens,Seiko,Grand Seiko,MechanicalAutomatic,,,,StainlessSteel,,,,,
SBGR00G,,,Grand Seiko Shizuku-ishiWatchStudio SBGR00G MechanicalAutomatic Mens,Seiko,Grand Seiko,MechanicalAutomatic,,,,StainlessSteel,,,,,
SBGR00H,,,Grand Seiko Shizuku-ishiWatchStudio SBGR00H MechanicalAutomatic Mens,Seiko,Grand Seiko,MechanicalAutomatic,,,,StainlessSteel,,,,,
SBGR00M,9S65-00D0,,Grand Seiko Shizuku-ishiWatchStudio SBGR00M 9S65-00D0 MechanicalAutomatic Mens,Seiko,Grand Seiko,MechanicalAutomatic,,,,StainlessSteel,,,,40mm,
SBGR011,9S55-0040,,Grand Seiko SBGR011 9S55-0040 Mechanical Automatic Mens,Seiko,Grand Seiko,Mechanical Automatic,,,,Titanium,,,,,
SBGR013,9S51-0030,,Grand Seiko GS 40th Anniversary LE 500 SBGR013 9S51-0030 Mechanical Automatic,Seiko,Grand Seiko,Mechanical Automatic,,,,White Gold,,,,,
SBGR015,9S55-0030,,Grand Seiko SBGR015 9S55-0030 Mechanical Automatic Mens,Seiko,Grand Seiko,Mechanical Automatic,,,,Stainless Steel,,,,,
SBGR017,9S55-0050,,Grand Seiko SBGR017 9S55-0050 Mechanical Automatic Mens,Seiko,Grand Seiko,Mechanical Automatic,,,,Stainless Steel,,,,,
SBGR019,9S55-0050,,Grand Seiko SBGR019 9S55-0050 Mechanical Automatic Mens,Seiko,Grand Seiko,Mechanical Automatic,,,,Stainless Steel,,,,,
SBGR021,9S55-0010,,Grand Seiko SBGR021 9S55-0010 Mechanical Automatic Mens,Seiko,Grand Seiko,Mechanical Automatic,,,,Stainless Steel,,,,,
SBGR023,9S55-0010,,Grand Seiko SBGR023 9S55-0010 Mechanical Automatic Mens,Seiko,Grand Seiko,Mechanical Automatic,,,,Stainless Steel,,,,,
SBGR025,9S55-00A0,,Grand Seiko Mastershop SBGR025 9S55-00A0 MechanicalAutomatic Mens,Seiko,Grand Seiko,MechanicalAutomatic,,,,Titanium,,,,,
SBGR027,9S55-00B0,,Grand Seiko Wako LE 30 SBGR027 9S55-00B0 Mechanical Automatic Mens,Seiko,Grand Seiko,Mechanical Automatic,,,,Stainless Steel,,,,,
SBGR029,9S55-00C0,,Grand Seiko SBGR029 9S55-00C0 Mechanical Automatic Mens,Seiko,Grand Seiko,Mechanical Automatic,,,,Stainless Steel,,,,,
SBGR031,9S55-00C0,,Grand Seiko SBGR031 9S55-00C0 Mechanical Automatic Mens,Seiko,Grand Seiko,Mechanical Automatic,,,,Stainless Steel,,,,,
SBGR033,9S51-00A0,,Grand Seiko Wako LE 10 SBGR033 9S51-00A0 Mechanical Automatic Mens,Seiko,Grand Seiko,Mechanical Automatic,,,,White Gold,,,,,
SBGR035,9S55-00D0,,Grand Seiko Kyoto Terauchi 110th Anniversary LE 30 SBGR035 9S55-00D0 Automatic,Seiko,Grand Seiko,Mechanical Automatic,,,,Stainless Steel,,,,,
SBGR037,9S55-00E0,,Grand Seiko 9S10thAnniversaryLE 300 SBGR037 9S55-00E0 MechanicalAutomatic Mens,Seiko,Grand Seiko,MechanicalAutomatic,,,,StainlessSteel,,,,37mm,
SBGR041,,,Grand Seiko Nihonbashi Mitsukoshi LE SBGR041 Mechanical Automatic Mens,Seiko,Grand Seiko,Mechanical Automatic,,,,Titanium,,,,37mm,
SBGR051,9S65-00B0,,Grand Seiko SBGR051 9S65-00B0 Mechanical Automatic Mens,Seiko,Grand Seiko,Mechanical Automatic,,,,Stainless Steel,,,,37mm,
SBGR053,9S65-00B0,,Grand Seiko SBGR053 9S65-00B0 Mechanical Automatic Mens,Seiko,Grand Seiko,Mechanical Automatic,,,,Stainless Steel,,,,37mm,
SBGR055,9S65-00C0,,Grand Seiko Edition SBGR055 9S65-00C0 MechanicalAutomatic Mens,Seiko,Grand Seiko,MechanicalAutomatic,,,,StainlessSteel,,,,39mm,
SBGR057,9S65-00C0,,Grand Seiko Edition SBGR057 9S65-00C0 MechanicalAutomatic Mens,Seiko,Grand Seiko,MechanicalAutomatic,,,,StainlessSteel,,,,39mm,
SBGR059,9S65-00A0,,Grand Seiko SBGR059 9S65-00A0 Mechanical Automatic Mens,Seiko,Grand Seiko,Mechanical Automatic,,,,Titanium,,,,37.8mm,
SBGR061,9S65-00D0,,Grand Seiko SBGR061 9S65-00D0 Mechanical Automatic Mens,Seiko,Grand Seiko,Mechanical Automatic,,,,Stainless Steel,,,,40mm,
SBGR063,,,Grand Seiko ThongSiaAsiaLE 88 SBGR063 MechanicalAutomatic Mens,Seiko,Grand Seiko,MechanicalAutomatic,,,,StainlessSteel,,,,39mm,
SBGR065,9S65-00E0,,Grand Seiko GS50thAnniversaryLE 500 SBGR065 9S65-00E0 MechanicalAutomatic Mens,Seiko,Grand Seiko,MechanicalAutomatic,,,,StainlessSteel,,,,37mm,
SBGR067,,,Grand Seiko SBGR067 Mechanical Automatic Mens,Seiko,Grand Seiko,Mechanical Automatic,,,,Stainless Steel,,,,39mm,
SBGR069,9S65-00F0,,Grand Seiko Mastershop SBGR069 9S65-00F0 Mechanical Automatic Mens,Seiko,Grand Seiko,Mechanical Automatic,,,,Stainless Steel,,,,39mm,
SBGR071,9S65-00B0,,Grand Seiko Edition SBGR071 9S65-00B0 MechanicalAutomatic Mens,Seiko,Grand Seiko,MechanicalAutomatic,,,,StainlessSteel,,,,37mm,
SBGR073,9S65-00B0,,Grand Seiko SBGR073 9S65-00B0 Mechanical Automatic Mens,Seiko,Grand Seiko,Mechanical Automatic,,,,Stainless Steel,,,,37mm,
SBGR075,9S65-00E0,,Grand Seiko GS50thAnniversaryLE 300 SBGR075 9S65-00E0 MechanicalAutomatic Mens,Seiko,Grand Seiko,MechanicalAutomatic,,,,StainlessSteel,,,,37mm,
SBGR077,9S65-00G0,,Grand Seiko Mastershop SBGR077 9S65-00G0 MechanicalAutomatic Mens,Seiko,Grand Seiko,MechanicalAutomatic,,,,StainlessSteel,,,,41mm,
SBGR079,9S65-00G0,,Grand Seiko Mastershop SBGR079 9S65-00G0 MechanicalAutomatic Mens,Seiko,Grand Seiko,MechanicalAutomatic,,,,StainlessSteel,,,,41mm,
SBGR081,9S65-00J0,,Grand Seiko Seiko100thYearofWatchmakingLE 1200 SBGR081 9S65-00J0 Automatic,Seiko,Grand Seiko,MechanicalAutomatic,,,,StainlessSteel,,,,40mm,
SBGR083,9S65-00J0,,Grand Seiko Seiko100thYearofWatchmakingLE 700 SBGR083 9S65-00J0 Automatic,Seiko,Grand Seiko,MechanicalAutomatic,,,,StainlessSteel,,,,40mm,
SBGR085,,,Grand Seiko Wako LE 38 SBGR085 Mechanical Automatic Mens,Seiko,Grand Seiko,Mechanical Automatic,,,,Stainless Steel,,,,40mm,
SBGR087,9S65-00B0,,Grand Seiko SBGR087 9S65-00B0 Mechanical Automatic Mens,Seiko,Grand Seiko,Mechanical Automatic,,,,Stainless Steel,,,,,
SBGR089,9S65-00B0,,Grand Seiko SBGR089 9S65-00B0 Mechanical Automatic Mens,Seiko,Grand Seiko,Mechanical Automatic,,,,Stainless Steel,,,,,
SBGR091,9S65-00M0,,Grand Seiko GS55thAnniversaryLE 100 SBGR091 9S65-00M0 MechanicalAutomatic Mens,Seiko,Grand Seiko,MechanicalAutomatic,,,,WhiteGold,,,,37.6mm,
SBGR092,9S65-00N0,,Grand Seiko GS55thAnniversaryLE 100 SBGR092 9S65-00N0 MechanicalAutomatic Mens,Seiko,Grand Seiko,MechanicalAutomatic,,,,YellowGold,,,,37.6mm,
SBGR094,,,Grand Seiko GS55thAnniversaryLE 100 SBGR094 MechanicalAutomatic Mens,Seiko,Grand Seiko,MechanicalAutomatic,,,,RoseGold,,,,37.6mm,
SBGR095,9S65-00R0,,Grand Seiko GS55thAnniversaryLE 600 SBGR095 9S65-00R0 MechanicalAutomatic Mens,Seiko,Grand Seiko,MechanicalAutomatic,,,,StainlessSteel,,,,37.6mm,
SBGR097,9S61-00C0,,Grand Seiko GS 55th Anniversary LE 500 SBGR097 9S61-00C0 Mechanical Automatic,Seiko,Grand Seiko,Mechanical Automatic,,,,Stainless Steel,,,,42mm,
SBGR099,9S61-00B0,,Grand Seiko Edition SBGR099 9S61-00B0 Mechanical Automatic Mens,Seiko,Grand Seiko,Mechanical Automatic,,,,Stainless Steel,,,,42mm,
SBGR101,9S61-00B0,,Grand Seiko Edition SBGR101 9S61-00B0 Mechanical Automatic Mens,Seiko,Grand Seiko,Mechanical Automatic,,,,Stainless Steel,,,,42mm,
SBGR103,9S61-00B0,,Grand Seiko Ginza Premium Boutique LE 30 SBGR103 9S61-00B0 Mechanical Automatic,Seiko,Grand Seiko,Mechanical Automatic,,,,Stainless Steel,,,,42mm,
SBGR20G,9S65-00B0,,Grand Seiko Shizuku-ishiWatchStudio SBGR20G 9S65-00B0 MechanicalAutomatic Mens,Seiko,Grand Seiko,MechanicalAutomatic,,,,StainlessSteel,,,,37mm,
SBGR20H,9S65-00B0,,Grand Seiko Shizuku-ishiWatchStudio SBGR20H 9S65-00B0 MechanicalAutomatic Mens,Seiko,Grand Seiko,MechanicalAutomatic,,,,StainlessSteel,,,,37mm,
SBGR20M,9S65-00D0,,Grand Seiko Shizuku-ishiWatchStudio SBGR20M 9S65-00D0 MechanicalAutomatic Mens,Seiko,Grand Seiko,MechanicalAutomatic,,,,StainlessSteel,,,,39.5mm,
SBGR251,9S65-00B0,,Grand Seiko SBGR251 9S65-00B0 Mechanical Automatic Mens,Seiko,Grand Seiko,Mechanical Automatic,,,,Stainless Steel,,,,37mm,
SBGR253,9S65-00B0,,Grand Seiko SBGR253 9S65-00B0 Mechanical Automatic Mens,Seiko,Grand Seiko,Mechanical Automatic,,,,Stainless Steel,,,,37mm,
SBGR255,9S65-00C0,,Grand Seiko SBGR255 9S65-00C0 Mechanical Automatic Mens,Seiko,Grand Seiko,Mechanical Automatic,,,,Stainless Steel,,,,39.4mm,
